paper,variable,type,model,method,parameter,reason,decision
ko2007effects,NO2,temporal,generalized additive model,NA,NA,NA,"same day (lag 0) up to 5 lag days (lag 5) , cumulative lags by 2 (lag 0 and 1) , cumulative lags by 3 (lag 0-2) to 6 days (lag 0-5)"
ko2007effects,O3,temporal,generalized additive model,NA,NA,NA,"same day (lag 0) up to 5 lag days (lag 5) , cumulative lags by 2 (lag 0 and 1) , cumulative lags by 3 (lag 0-2) to 6 days (lag 0-5)"
ko2007effects,PM,temporal,generalized additive model,NA,NA,NA,"same day (lag 0) up to 5 lag days (lag 5) , cumulative lags by 2 (lag 0 and 1) , cumulative lags by 3 (lag 0-2) to 6 days (lag 0-5)"
ko2007effects,SO2,temporal,generalized additive model,NA,NA,NA,"same day (lag 0) up to 5 lag days (lag 5) , cumulative lags by 2 (lag 0 and 1) , cumulative lags by 3 (lag 0-2) to 6 days (lag 0-5)"
ko2007effects,time,parameter,generalized additive model,smoothing spline,smoothing parameter,to control for the long-term seasonal patterns of asthma visits,NA
lee2006association,PM,temporal,Poisson's regression with generalized additive models,NA,NA,to account for potential delays in disease incidence after important exposures,lag 0-5
lee2006association,humidity,parameter,Poisson's regression with generalized additive models,smoothing spline,smoothing parameter,NA,smooth function
lee2006association,humidity,temporal,Poisson's regression with generalized additive models,NA,NA,NA,"lag 0 , up to 5 days before admission"
lee2006association,temperature,parameter,Poisson's regression with generalized additive models,smoothing spline,smoothing parameter,NA,smooth function
lee2006association,temperature,temporal,Poisson's regression with generalized additive models,NA,NA,NA,"lag 0 , up to 5 days before admission"
lee2006association,time,temporal,Poisson's regression with generalized additive models,NA,NA,NA,correction of yearly trend
linares2010short,PM,method,Box-Jenkins method,Box-Jenkins,NA,NA,NA
linares2010short,hospital_admissions,parameter,Box-Jenkins method,NA,NA,to adjust seasonality,"90, 120, 180 and 365 days"
linares2010short,overall_data,temporal,Box-Jenkins method,NA,NA,NA,winter (November to March inclusive) and summer (June to September inclusive)
linares2010short,scatter-plot_diagrams_of_the_different_variables,method,Box-Jenkins method,LOWESS,NA,NA,NA
lisabeth2008ambient,PM,temporal,Poisson regression models,NA,NA,"the effects of PM2.5 on stroke/TIA may be delayed , to limit the number of models considered","lagged variables up to 5 days before the date of stroke/TIA , same-day and previous-day"
lisabeth2008ambient,season,temporal,Poisson regression models,NA,NA,based on visual inspection of temperature data over the study time period,summer (June through September) versus nonsummer (all other months)
lisabeth2008ambient,temperature,parameter,Poisson regression models,natural spline,knots,to account for the potential confounding effects of temperature,3 
lisabeth2008ambient,time,parameter,Poisson regression models,natural spline,knots,"to account for temporal trends in stroke/TIA events over the study period , because strong seasonal trends in the number of events were not found","3  , small number"
lopez2010air,PM,temporal,Poisson regression model,NA,NA,2-day moving average of air pollutants has been described as fitting better than any single day's results,"exposure on the current day (lag 0) , lags up to 5 days , 2-day moving average (lag01)"
lopez2010air,barometric_pressure,temporal,Poisson regression model,NA,NA,relationship with the outcome is expected to be nonlinear,lags 0 to 1 and lags 2 to 4 averages
lopez2010air,humidity,temporal,Poisson regression model,NA,NA,relationship with the outcome is expected to be nonlinear,lags 0 to 1 and lags 2 to 4 averages
lopez2010air,influenza,temporal,Poisson regression model,NA,NA,relationship with the outcome is expected to be nonlinear,lags 0 to 6 average
lopez2010air,non-linear_terms,parameter,Poisson regression model,smoothing spline,smoothing parameter,in line with APHEA2 methodology,10
lopez2010air,remaining_smoothers,parameter,Poisson regression model,smoothing spline,smoothing parameter,NA,chosen automatically by means of generalized cross-validation
lopez2010air,temperature,temporal,Poisson regression model,NA,NA,relationship with the outcome is expected to be nonlinear,lags 0 to 1 and lags 2 to 4 averages
lopez2010air,time,parameter,Poisson regression model,smoothing spline,smoothing parameter,"in line with APHEA2 methodology , chosen by minimizing the absolute value of the sum of partial autocorrelation of the residuals","10 per year (i.e. 50 total) , 9 in L/P de Gran Canaria , 8 in L/P de Gran Canaria , 12 in L/P de Gran Canaria , 5 in S/C de Tenerife"
lopez2010air,time,temporal,Poisson regression model,NA,NA,to remove potential confounding effects of long term trends and seasonality,NA
mar2000associations,CO,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,EC,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,Ks,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,NO2,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,O3,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,OC,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,PM,parameter,Poisson regression,smooth function,NA,evaluated the assumption of a linear relationship,assumption was met if a straight line could be placed within the 95% confidence intervals
mar2000associations,PM,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,Pb,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,S,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,SO2,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,TC,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,Zn,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,humidity,parameter,Poisson regression,smoothing spline,smoothing parameter,to minimize the AIC,2 
mar2000associations,humidity,temporal,Poisson regression,NA,NA,to minimize the AIC,0 days lag
mar2000associations,soil,temporal,Poisson regression,NA,NA,NA,0 to 4 lag days
mar2000associations,temperature,parameter,Poisson regression,smoothing spline,smoothing parameter,to minimize the AIC,2 
mar2000associations,temperature,temporal,Poisson regression,NA,NA,to minimize the AIC,"2-day lag , 1 day lag"
mar2000associations,time,parameter,Poisson regression,smoothing spline,smoothing parameter,to minimize the AIC,10 
mate2010short,dependent_variables_and_the_independent_variable,temporal,ARIMA,NA,NA,NA,"lag 0 , later lag"
mate2010short,time,parameter,ARIMA,visual inspection of the simple autocorrelation function,NA,NA,"ACF , PACF , AIC"
moolgavkar2000air,PM,temporal,generalized additive model,NA,NA,NA,lags of between 0 and 5 days
moolgavkar2000air,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2000air,humidity,temporal,generalized additive model,NA,NA,NA,lag times from 0 to 5 days
moolgavkar2000air,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2000air,temperature,temporal,generalized additive model,NA,NA,NA,lag times from 0 to 5 days
moolgavkar2000air,time,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,30 
moolgavkar2000air-2,PM,temporal,generalized additive model,NA,NA,NA,lags of between 0 and 5 days
moolgavkar2000air-2,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2000air-2,humidity,temporal,generalized additive model,NA,NA,NA,lags from 0 to 5 days
moolgavkar2000air-2,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2000air-2,temperature,temporal,generalized additive model,NA,NA,NA,lags from 0 to 5 days
moolgavkar2000air-2,time,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,30 
moolgavkar2003air,PM,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2003air,PM,temporal,generalized additive model,NA,NA,NA,"lags of between 0 and 5 days , lags between 0 and 5 days"
moolgavkar2003air,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2003air,humidity,temporal,generalized additive model,NA,NA,NA,various lag times from 0 to 5 days
moolgavkar2003air,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,6 
moolgavkar2003air,temperature,temporal,generalized additive model,NA,NA,NA,various lag times from 0 to 5 days
moolgavkar2003air,time,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,"100  , 30 "
neuberger2007extended,Seasonal_and_meteorological_factors,parameter,overdispersed Poisson GAMs,spline functions,NA,NA,minimizing sum of partial autocorrelation function
neuberger2007extended,mortality,temporal,overdispersed Poisson GAMs,NA,NA,"From the time course of associations with hospital admissions in Vienna , for intermediate effects , for prolonged effects","up to 14 days , 7-day , 14-day"
neuberger2007extended,time,parameter,overdispersed Poisson GAMs,NA,NA,based our selection on the minimum sum of 30 lags of partial autocorrelation function,3 to 8  per year
neuberger2007extended,weather_indicators,parameter,overdispersed Poisson GAMs,NA,NA,the best combination of lag and smoothing parameter was selected on the basis of the Akaike information criterion,NA
neuberger2007extended,weather_indicators,temporal,overdispersed Poisson GAMs,NA,NA,NA,"days 0, 1 and 2"
ostro,PM,temporal,model,NA,NA,previous studies have reported stronger associations of mortality with PM lagged 1 or 2 days or with cumulative exposures over several days,"2-day average of lags 0 and 1 (lag 01) , single-day lag of 2 days (lag 2)"
ostro,humidity,parameter,model,smoothing spline,smoothing parameter,NA,3 
ostro,temperature,parameter,model,smoothing spline,smoothing parameter,NA,3 
ostro,time,parameter,model,smoothing spline,smoothing parameter,controls well for seasonal patterns in mortality and reduces and often eliminates autocorrelation,"7  per year of data , 3 knots"
ostro,time,temporal,model,NA,NA,NA,3-week period
ostro2001effects,PM,temporal,Poisson regression,NA,NA,NA,single-day lags of 0-3
ostro2001effects,hospital_admissions,parameter,Poisson regression,NA,NA,"to control for the effects of seasonality and other factors that are time dependent , chosen based on their effectiveness in controlling for weather variables and promoting best model fits in both this analysis and previous studies",natural spline smoothers
ostro2001effects,humidity,parameter,Poisson regression,natural spline,knots,NA,3 
ostro2001effects,temperature,parameter,Poisson regression,natural spline,knots,NA,3 
ostro2001effects,time,parameter,Poisson regression,smoothing spline,smoothing parameter,this number controls well for seasonal and secular patterns,4  per calendar year
ostro2006effects,PM,temporal,Poisson regression,NA,NA,NA,single-day lags of 0-3 days
ostro2006effects,humidity,parameter,Poisson regression,smoothing spline,smoothing parameter,NA,3 
ostro2006effects,humidity,temporal,Poisson regression,NA,NA,NA,1-day lags
ostro2006effects,temperature,parameter,Poisson regression,smoothing spline,smoothing parameter,NA,3 
ostro2006effects,temperature,temporal,Poisson regression,NA,NA,NA,1-day lags
ostro2006effects,time,parameter,Poisson regression,natural spline,knots,has been found to control well for seasonal and secular patterns,4  per year of data
ostro2006effects,time,temporal,Poisson regression,NA,NA,NA,warm (April-September) and cool (October-March) periods
peel,PM,temporal,basic model,NA,NA,NA,"3-day moving average of pollution levels lagged 0, 1, and 2 days relative to the visits"
peel,"outcome_data_(URI,_asthma,_all_respiratory_disease)",parameter,basic model,NA,NA,to account for possible autocorrelation in the outcome data,stationary 4-dependent
peel,"outcomes_(pneumonia,_COPD)",parameter,basic model,NA,NA,NA,minimal
peel,time,parameter,basic model,cubic spline,number of knots,NA,monthly knots
peel,NA,parameter,basic model,LOESS,smoothing window,NA,10-14
peng2008coarse,PM,temporal,overdispersed Poisson model,NA,NA,NA,"lags 0, 1, and 2 days"
peng2008coarse,humidity,parameter,overdispersed Poisson model,natural spline,knots,NA,3 
peng2008coarse,humidity,temporal,overdispersed Poisson model,NA,NA,NA,mean of the previous 3 days
peng2008coarse,temperature,parameter,overdispersed Poisson model,natural spline,knots,to give the model sufficient flexibility to account for potential nonlinearity in the relationship between temperature and health outcomes,6 
peng2008coarse,temperature,temporal,overdispersed Poisson model,NA,NA,NA,mean of the previous 3 days
peng2008coarse,time,parameter,overdispersed Poisson model,natural spline,knots,so that little information at time scales longer than 2 months would be retained in estimating the risks,"8  per calendar year , 1  per year"
peng2009emergency,exposure_concentrations,temporal,log-linear Poisson regression model,NA,NA,our previous work with PM2.5 total mass and hospital admissions showed little evidence of a strong association with admissions at a lag of  3 days,"0-, 1-, and 2-day lag concentrations"
peng2009emergency,humidity,parameter,log-linear Poisson regression model,natural spline,knots,NA,3 
peng2009emergency,humidity,temporal,log-linear Poisson regression model,NA,NA,NA,3-day running mean
peng2009emergency,temperature,parameter,log-linear Poisson regression model,natural spline,knots,NA,6 
peng2009emergency,temperature,temporal,log-linear Poisson regression model,NA,NA,NA,3-day running mean
peng2009emergency,time,parameter,log-linear Poisson regression model,natural spline,knots,NA,8  per calendar year
perez2008coarse,humidity,temporal,conditional logistic regression,NA,NA,NA,4-day average (day of exposure and 3 days before exposure)
perez2008coarse,temperature,temporal,conditional logistic regression,NA,NA,NA,4-day average (day of exposure and 3 days before exposure)
peters2000associations,humidity,parameter,generalized additive models,natural spline,knots,NA,4 
peters2000associations,seasonal_function,parameter,generalized additive models,natural spline,knots,NA,3  for each study year
peters2000associations,seasonal_variation,parameter,generalized additive models,NA,NA,NA,sine and cosine functions with periods between 1 year and 1/6 year
peters2000associations,temperature,parameter,generalized additive models,NA,NA,NA,"quadratic function , 4 "
peters2000associations,temperature,temporal,generalized additive models,NA,NA,NA,3-day mean of the current day and the previous 2 days
peters2000associations,time,parameter,generalized additive models,NA,NA,NA,cubic function
schreuder2006ambient,exposure,temporal,Poisson regression with a generalized additive model,NA,NA,NA,1-day lag
schreuder2006ambient,temperature,parameter,Poisson regression with a generalized additive model,smoothing spline,smoothing parameter,NA,2 
schreuder2006ambient,time,parameter,Poisson regression with a generalized additive model,smoothing spline,smoothing parameter,NA,42 
schwartz,PM,temporal,generalized additive model,NA,NA,based on previous observations,mean of the non-missing particle concentrations on the same and on the previous day
