paper,variable,type,model,method,parameter,reason,decision
burnett2004associations,time,parameter,random-effects regression model,natural spline,knots,"to provide unbiased estimates of the air pollution effect and its uncertainty, and perform better than the nonparametric modeling approaches used in previous studies , model selection criterion","1 knot for each of 15, 30, 60, 90, 120, 180, and 365 days of observation , number of knots that either minimized the Akaike Information Criteria (AIC) or maximized the evidence that the model residuals did not display any type of structure"
castillejos2016airborne,PM,temporal,Poisson regression,NA,NA,showed a stronger and more precise association,5-day average exposure (previous 5 days)
castillejos2016airborne,mortality,parameter,Poisson regression,LOESS,smoothing window,to allow for both linear and nonlinear relationships between mortality and predictor variables,NA
castillejos2016airborne,overdispersion,parameter,Poisson regression,NA,NA,to account for the potential effects of serial correlations among observations,multiply the estimated variance of the regression coefficients by the square root of the overdispersion parameter
castillejos2016airborne,temperature,temporal,Poisson regression,NA,NA,to provide the best compromise between fit and number of parameters,mean temperature during the 3 days before death
castillejos2016airborne,time,parameter,Poisson regression,smoothed function,degrees of freedom,to provide the best compromise between fit and number of parameters,7.7 
chen2008influence,COH,temporal,general linear models with parametric natural cubic splines,NA,NA,NA,"day of admission, as well as 1, 2, 3, 4, 5, 6, and 7 days prior to the date of admission, and multiday average for the first 3 days prior to the date of admission"
chen2008influence,PM,temporal,general linear models with parametric natural cubic splines,NA,NA,NA,"day of admission, as well as 1, 2, 3, 4, 5, 6, and 7 days prior to the date of admission, and multiday average for the first 3 days prior to the date of admission"
chen2008influence,humidity,temporal,general linear models with parametric natural cubic splines,NA,NA,NA,"day of admission, as well as 1, 2, 3, 4, 5, 6, and 7 days prior to the date of admission, and multiday average for the first 3 days prior to the date of admission"
chen2008influence,temperature,temporal,general linear models with parametric natural cubic splines,NA,NA,NA,"day of admission, as well as 1, 2, 3, 4, 5, 6, and 7 days prior to the date of admission, and multiday average for the first 3 days prior to the date of admission"
chen2008influence,time,parameter,general linear models with parametric natural cubic splines,natural spline,knots,"so that the autocorrelation in the residuals is minimized , to remove temporal trends and seasonal and subseasonal cycles in COPD hospitalizations","knots every 30 days (knots = study length/30) , 10^-8"
chock2000study,PM,temporal,Poisson regression,NA,NA,"to test the hypothesis of causal relation between daily mortality and ambient pollutant concentrations , based on auto- and cross-correlation functions of air pollutants decaying rapidly from peak of zero lag","time lags of 2 days , zero lag and lag of 2 days"
chock2000study,day_of_the_week,temporal,Poisson regression,NA,NA,to filter out the day-of-the-week effect,included as variable
chock2000study,temperature,parameter,Poisson regression,LOESS,smoothing window,"to determine minimum temperature value for V-shape function , to model the anticipated nonlinear relation of daily mortality with temperature","25 C as minimum , V-shape function with minimum at 25 C"
chock2000study,time,parameter,Poisson regression,cubic B-spline,degrees of freedom,"to assure that seasonal trends are removed , to determine how the degree of filtering influences the regression results","15  , ranging from 15 (one quarter) to >39 (less than one month)"
cifuentes2011effect,PM,temporal,generalized additive model,NA,NA,NA,separate variables for summer months (October-March) and winter months (April-September)
cifuentes2011effect,daily_deaths,temporal,generalized additive model,NA,NA,to test pollution effects across time periods,"same day and up to 5 previous days (lags 1-5), and the average of the previous days, from 1 to 5"
cifuentes2011effect,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,to control for weather effects,8 
cifuentes2011effect,humidity,temporal,generalized additive model,NA,NA,to control for weather effects,same-day relative humidity and the average of 1-5 previous days
cifuentes2011effect,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,to control for weather effects,8 
cifuentes2011effect,temperature,temporal,generalized additive model,NA,NA,to control for weather effects,"same day and the average of up to the 5 days before the date of death , same-day temperature and the average of 1-5 previous days"
cifuentes2011effect,time,parameter,generalized additive model,LOESS,smoothing window,to minimize the autocorrelation of the residuals,window length determined by minimizing autocorrelation
cifuentes2011effect,time,temporal,generalized additive model,NA,NA,to control for seasonal confounding,"linear and quadratic terms for day of the study and binary variables for each year, quarter, day of the week, and all holidays"
dockery1992air,PM,parameter,Poisson regression,NA,NA,to evaluate the additional effect of each air pollutant in predicting daily mortality,evaluated separately
dockery1992air,cold_days,parameter,Poisson regression,indicator variables,threshold,NA,defined at the 5th percentile
dockery1992air,hot_days,parameter,Poisson regression,indicator variables,threshold,NA,defined at the 95th percentile
dockery1992air,humid_days,parameter,Poisson regression,indicator variables,threshold,NA,defined at the 95th percentile
dockery1992air,humidity,parameter,Poisson regression,linear and quadratic effects,functional form,to conservatively estimate the pollution association by first obtaining the best fit possible with weather terms,linear and quadratic effects of 24-hr mean dew-point temperature
dockery1992air,mortality,parameter,Poisson regression,autoregressive structure,covariance structure,to incorporate the serial correlation often found in long time series,autoregressive structure
dockery1992air,mortality,spatial,Poisson regression,NA,NA,to fit the mortality data,separately in each of the study areas
dockery1992air,temperature,parameter,Poisson regression,linear and quadratic effects,functional form,to conservatively estimate the pollution association by first obtaining the best fit possible with weather terms,linear and quadratic effects of 24-hr mean temperature
dockery1992air,weather,temporal,Poisson regression,NA,NA,NA,same and previous day
fairley1999daily,carbon_monoxide,temporal,Poisson regression with generalized additive models,NA,NA,based on health-based national standards,maximum 8-hr average
fairley1999daily,day_of_year,parameter,Poisson regression with generalized additive models,NA,NA,optimizing Akaike's information criterion (AIC),increasing the  until there is no improvement in AIC
fairley1999daily,nitrogen_dioxide,temporal,Poisson regression with generalized additive models,NA,NA,based on health-based national standards,24-hr average
fairley1999daily,ozone,temporal,Poisson regression with generalized additive models,NA,NA,based on health-based national standards,maximum 8-hr average
fairley1999daily,temperature,parameter,Poisson regression with generalized additive models,NA,NA,optimizing Akaike's information criterion (AIC),adding terms until there is no improvement in AIC
fairley1999daily,time,parameter,Poisson regression with generalized additive models,NA,NA,optimizing Akaike's information criterion (AIC),increasing the  until there is no improvement in AIC
fairley1999daily,time,temporal,Poisson regression with generalized additive models,NA,NA,following the modeling strategy of Samet,fitting terms for season and trend before other variables
franklin2008role,PM,temporal,Poisson regression,NA,NA,"Effects of PM are weaker with concurrent rather than lagged exposures, and the associations at different lags differ by cause of death",single- and multiple-day exposure lags (PM2.5 averaged over the day before and the day of death)
franklin2008role,humidity,temporal,Poisson regression,NA,NA,To control for confounding effects of dew point temperature,3-day running mean
franklin2008role,temperature,parameter,Poisson regression,quadratic function,NA,To capture inverted U-shape phenomenon of ventilation rate and indoor/outdoor ratio of PM,quadratic function of temperature
franklin2008role,temperature,temporal,Poisson regression,NA,NA,To control for confounding effects of temperature,3-day running mean
franklin2008role,time,parameter,Poisson regression,natural spline,knots,NA,1.5  for each season and year
goldberg2001association,PM,parameter,generalized additive models,LOESS,smoothing window,NA,50%
goldberg2001association,PM,temporal,generalized additive models,NA,NA,NA,"lag 1 day , average of lags 0 to 2 days (3-day mean)"
goldberg2001association,day-of-study,parameter,generalized additive models,LOESS,smoothing window,to provide an adjustment for seasonal and subseasonal variations (temporal filter),91 or 131 days of 3653 days of observations
goldberg2001association,temporal_filter,parameter,generalized additive models,NA,NA,consistent with a white noise process,selected using Bartlett's statistic
goldberg2001association,weather_variables,parameter,generalized additive models,LOESS,smoothing window,to adjust for the potential confounding effects of relevant weather variables,NA
goldberg2001association,weather_variables,temporal,generalized additive models,NA,NA,NA,lags 0 to 5 days
huang2009visibility,NO2,temporal,generalized additive model,NA,NA,NA,24-hour average
huang2009visibility,O3,temporal,generalized additive model,NA,NA,NA,8-hour (from 10 AM to 6 PM) average concentration
huang2009visibility,PM,temporal,generalized additive model,NA,NA,NA,24-hour average
huang2009visibility,SO2,temporal,generalized additive model,NA,NA,NA,24-hour average
huang2009visibility,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,could control well for meteorologic effects on mortality,3  (whole period of study)
huang2009visibility,humidity,temporal,generalized additive model,NA,NA,NA,current-day
huang2009visibility,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,could control well for meteorologic effects on mortality,3  (whole period of study)
huang2009visibility,temperature,temporal,generalized additive model,NA,NA,NA,current-day
huang2009visibility,time,parameter,generalized additive model,smoothing spline,smoothing parameter,selected until the absolute values of sum of PACF of residuals for lags up to 30 reach minimal,NA
huang2009visibility,visibility,parameter,generalized additive model,smoothing spline,smoothing parameter,the underlying assumption of linear relationship between death risk and visibility may not hold,NA
huang2009visibility,visibility,temporal,generalized additive model,NA,NA,NA,current-day
ito2006pm,PM,temporal,sensitivity analysis,NA,NA,NA,lags between 0 and 4 days
ito2006pm,humidity,parameter,sensitivity analysis,natural spline,knots,to determine if weather models affected the lag structure of associations,"3  , 2  , 4 "
ito2006pm,humidity,temporal,sensitivity analysis,NA,NA,to determine if weather models affected the lag structure of associations,"average of lag 1-3 day , lag 0 , lag 2"
ito2006pm,same-day_dewpoint,parameter,sensitivity analysis,natural spline,knots,to determine if weather models affected the lag structure of associations,3 
ito2006pm,temperature,parameter,sensitivity analysis,natural spline,knots,"to fit immediate temperature effects , to fit delayed temperature effects , to determine if weather models affected the lag structure of associations","4  , 6  , 3  , 5 "
ito2006pm,temperature,temporal,sensitivity analysis,NA,NA,"to fit delayed temperature effects , to determine if weather models affected the lag structure of associations","average of lag 1-3 days , average of lag 1-3 day , 1-day lag , lag 0 , lag 2"
ito2006pm,time,parameter,sensitivity analysis,natural spline,knots,"based on the inspection of the fitted mortality series (to see if it captured broad peak influenza epidemics that vary from year to year) and based on the extent of autocorrelation of the residuals , to examine the sensitivity of estimated PM2.5 mortality risks","38  (approximately 4 degrees of freedom per year) , 2, 8, and 16  per year"
jalaludin2009association,PM,temporal,generalised additive model,NA,NA,to determine acute effects,"lag0, lag1, lag2, lag3 days , 2-day cumulative lag (L01 = average of lag0 and lag1)"
jalaludin2009association,autocorrelation,parameter,generalised additive model,NA,NA,to remove any remaining serial correlation,first order autoregressive term
jalaludin2009association,humidity,temporal,generalised additive model,NA,NA,model fit improvement,"same day , additional lags included only if model fit was improved"
jalaludin2009association,meteorologic_variables,parameter,generalised additive model,natural spline,knots,NA,knots at quartiles
jalaludin2009association,temperature,temporal,generalised additive model,NA,NA,model fit improvement,"same day , additional lags included only if model fit was improved"
jalaludin2009association,time,parameter,generalised additive model,LOESS,smoothing window,"to control for seasonality and long-term trends , to control for long-term or seasonal trends","nonparametric smoother , 4  for cardiac disease and IHD, 9 df for CVD and 12 df for stroke"
jayaraman2008air,CO,temporal,generalized additive model,NA,NA,different pollutants may affect mortality with variable time lags,lag days from 0 to 3
jayaraman2008air,NO2,temporal,generalized additive model,NA,NA,different pollutants may affect mortality with variable time lags,lag days from 0 to 3
jayaraman2008air,O3,temporal,generalized additive model,NA,NA,different pollutants may affect mortality with variable time lags,lag days from 0 (same day) to 5 (5 days before)
jayaraman2008air,PM,temporal,generalized additive model,NA,NA,"different pollutants may affect mortality with variable time lags , to find best fitting lag period","lag days from 0 to 3 , selected lag period that gave smallest Akaike's information criterion (AIC)"
jayaraman2008air,SO2,temporal,generalized additive model,NA,NA,different pollutants may affect mortality with variable time lags,lag days from 0 to 3
jayaraman2008air,humidity,temporal,generalized additive model,NA,NA,to control short term effect on morbidity,LOWESS smoothing applied
jayaraman2008air,seasonal_variations,temporal,generalized additive model,NA,NA,to control short term effect on morbidity,LOWESS smoothing applied
jayaraman2008air,temperature,temporal,generalized additive model,NA,NA,to control short term effect on morbidity,LOWESS smoothing applied
jayaraman2008air,time,temporal,generalized additive model,NA,NA,to control temporal trends,LOWESS smoothing applied
jimenez2009short,PM,parameter,ARIMA,penalised spline regression,degrees of freedom,to yield an efficient multiple smoothing parameter estimation,"left to the algorithm 'mgcv' package for R software, which minimised the generalised cross-validation criterion"
jimenez2009short,environmental_variables_and_all-cause_mortality,parameter,ARIMA,smoothing spline,smoothing parameter,to establish the functional relationship between environmental variables and all-cause mortality among persons aged over 75 years,NA
jimenez2009short,time,parameter,ARIMA,Box-Jenkins technique,model order,to establish non-spurious relationships between mortality and PM2.5 levels,"identified on the basis of visual inspection of the simple autocorrelation (ACF) and partial autocorrelation functions (PACF), and minimisation of the Akaike Information Criterion (AIC)"
jimenez2010role,PM,parameter,generalised linear model with Poisson regression,scatter-plot diagrams,functional form,"to determine the relationship between particulate matter and mortality , to observe relationships graphically","linear relationship , LOWESS-type smoothing"
jimenez2010role,PM,temporal,generalised linear model with Poisson regression,NA,NA,to establish non-spurious relationships and delimit the time interval,lag 0 and subsequent lags
jimenez2010role,mortality_series,parameter,generalised linear model with Poisson regression,Box-Jenkins technique,model type,to prewhiten the mortality series,ARIMA models
jimenez2010role,ozone,parameter,generalised linear model with Poisson regression,threshold transformation,threshold value,functional relationships between mortality and ozone are quadratic,55 g/m3
jimenez2010role,temperature,parameter,generalised linear model with Poisson regression,threshold transformation,threshold value,functional relationships between mortality and temperature are quadratic,30C
kan20007differentiating,O3,temporal,generalized additive model,NA,NA,NA,8-hour (from 10 AM to 6 PM) average concentration
kan20007differentiating,PM,temporal,generalized additive model,NA,NA,NA,24-hour average concentrations
kan20007differentiating,day_of_the_week,parameter,generalized additive model,dummy variable,NA,to account for fluctuations in daily mortality,included as dummy variable
kan20007differentiating,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,based on the previous literature,3 
kan20007differentiating,particles,temporal,generalized additive model,NA,NA,single-day lag models underestimate the cumulative effect of pollutants on mortality,two-day moving average of current and previous day concentrations (lag = 01)
kan20007differentiating,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,based on the previous literature,3 
kan20007differentiating,time,parameter,generalized additive model,smoothing spline,smoothing parameter,to minimize the absolute values of sum of PACF of the residuals for lags up to 30,"10  for total mortality, 9 df for cardiovascular mortality, and 9 df for respiratory mortality"
katsouyanni,PM,parameter,generalized additive models,NA,NA,to facilitate the second-stage analysis,restrict to days with PM10 concentrations below 150 g/m
katsouyanni,PM,temporal,generalized additive models,NA,NA,based on previous studies having shown those lags to be the most relevant,average of lags 0 and 1
katsouyanni,black_smoke,parameter,generalized additive models,NA,NA,to facilitate the second-stage analysis,restrict to days with BS concentrations below 150 g/m
katsouyanni,black_smoke,temporal,generalized additive models,NA,NA,based on previous studies having shown those lags to be the most relevant,average of lags 0 and 1
katsouyanni,city-specific_effect_estimates,parameter,generalized additive models,random-effects regression models,between-cities variance,to address substantial heterogeneity among city results beyond the variation associated with the effect modifiers,estimated from the data using maximum likelihood method
katsouyanni,humidity,parameter,generalized additive models,smoothed functions,lag structure,to control for potential confounding effects of meteorologic variables,same day and lags up to 2 days or averaged over 0 to 2 days
katsouyanni,humidity,temporal,generalized additive models,NA,NA,to control for potential confounding effects of meteorologic variables,same-day values always included
katsouyanni,temperature,parameter,generalized additive models,smoothed functions,lag structure,to control for potential confounding effects of meteorologic variables,same day and lags up to 2 days or averaged over 0 to 2 days
katsouyanni,temperature,temporal,generalized additive models,NA,NA,to control for potential confounding effects of meteorologic variables,same-day values always included
katsouyanni,time,parameter,generalized additive models,LOESS,smoothing window,"to control for seasonal patterns and long-term trends, allowing for overdispersion",smoothing window not below 2 months
katsouyanni,weather_variables,parameter,generalized additive models,NA,NA,to minimize Akaike's information criterion,parameters chosen by minimizing AIC
kettunen2007associations,O3_and_CO,temporal,Poisson regression with generalized additive models,NA,NA,NA,8-hour moving averages
kettunen2007associations,PM,temporal,Poisson regression with generalized additive models,NA,NA,NA,"24-hour average concentrations , lag 0-5 days , 5-day mean of lags 0 to 4"
kettunen2007associations,humidity,temporal,Poisson regression with generalized additive models,NA,NA,"to control for confounding effects of meteorological variables , to represent slower effects of meteorology","current day (lag 0) , previous 3 days mean"
kettunen2007associations,seasonal_data,temporal,Poisson regression with generalized additive models,NA,NA,based on the variation in temperature and ultrafine particle concentration,stratification into warm (May to September) and cold (October to April) season
kettunen2007associations,time,parameter,Poisson regression with generalized additive models,smoothing spline,smoothing parameter,to take into account possible nonlinear confounders,NA
kettunen2007associations,ultrafine_particles,temporal,Poisson regression with generalized additive models,NA,NA,NA,24-hour median concentration
klemm2000aerosol,air_quality_variable,parameter,Poisson regression in a GAM framework,NA,NA,"analogous to the model from an October 1996 paper by Schwartz, Dockery, and Neas, and is consistent with models used in other mortalityair quality research",linear form
klemm2000aerosol,day_of_the_week,parameter,Poisson regression in a GAM framework,NA,NA,NA,factor variable with seven levels
klemm2000aerosol,humidity,parameter,Poisson regression in a GAM framework,natural spline,knots,NA,three knots based on the quartiles
klemm2000aerosol,temperature,parameter,Poisson regression in a GAM framework,natural spline,knots,NA,three knots based on the quartiles
klemm2000aerosol,time,parameter,Poisson regression in a GAM framework,natural spline,knots,"Natural splines offer several advantages over loess, including piecewise polynomial properties, more direct control over the tradeoff between local and global features of the smoothing operation, and exact theory for statistical inference and diagnostics",time-based knots at monthly midpoints
ko2007effects,NO2,temporal,generalized additive model,NA,NA,NA,"concentrations for the same day (lag 0) up to 5 lag days (lag 5) and cumulative lags by 2 (lag 0 and 1), 3 (lag 0-2) to 6 days (lag 0-5) were tested"
ko2007effects,O3,temporal,generalized additive model,NA,NA,formation of O3 is dependent on sunlight,daytime (09:00-17:00 hours) mean concentration
ko2007effects,PM,temporal,generalized additive model,NA,NA,to find the strongest effect,"concentrations for the same day (lag 0) up to 5 lag days (lag 5) and cumulative lags by 2 (lag 0 and 1), 3 (lag 0-2) to 6 days (lag 0-5) were tested , lag day (best lag) with the air pollutant concentration that yielded the largest  value, obtained from the change in deviances"
ko2007effects,SO2,temporal,generalized additive model,NA,NA,NA,"concentrations for the same day (lag 0) up to 5 lag days (lag 5) and cumulative lags by 2 (lag 0 and 1), 3 (lag 0-2) to 6 days (lag 0-5) were tested"
ko2007effects,seasonal_effect,temporal,generalized additive model,NA,NA,temperature differences,December to March considered as the cold season with a mean daily temperature below 20C
ko2007effects,time,parameter,generalized additive model,smoothing spline,smoothing parameter,to control for the long-term seasonal patterns of asthma visits,chosen based on minimum Akaike's Information Criterion (AIC) value
lee2006association,NO2,temporal,semi-parametric Poisson's regression with generalized additive models,NA,NA,to account for potential delays in disease incidence after important exposures,lag 3
lee2006association,O3,temporal,semi-parametric Poisson's regression with generalized additive models,NA,NA,"to account for potential delays in disease incidence after important exposures , when O3 concentrations were highest","lag 2 , 8-hourly (9:00-17:00 hours)"
lee2006association,PM,temporal,semi-parametric Poisson's regression with generalized additive models,NA,NA,to account for potential delays in disease incidence after important exposures,lag 4
lee2006association,day_of_study,parameter,semi-parametric Poisson's regression with generalized additive models,smooth function,NA,to account for over-dispersion for the variable and possible population changes during the study period,NA
lee2006association,humidity,parameter,semi-parametric Poisson's regression with generalized additive models,spline smooth function,NA,best-combined fit based on minimization of Akaike's Information Criteria (AIC) and lack of over- or under-fitting in the residual correction for autocorrelation,relative humidity on day of admission (at lag 0)
lee2006association,temperature,parameter,semi-parametric Poisson's regression with generalized additive models,spline smooth function,NA,best-combined fit based on minimization of Akaike's Information Criteria (AIC) and lack of over- or under-fitting in the residual correction for autocorrelation,mean daily temperature on day of admission (at lag 0)
linares2010short,PM,parameter,Poisson autoregressive model,LOWESS,NA,to establish functional relationships among variables,NA
linares2010short,PM,temporal,Poisson autoregressive model,NA,NA,to ascertain the lags at which association occurred,prewhitening of the series and computing cross-correlation functions
linares2010short,model_selection,parameter,Poisson autoregressive model,stepwise procedure,NA,to select variables based on statistical significance and minimize information criterion,variables that minimized the Akaike Information Criterion
linares2010short,ozone,parameter,Poisson autoregressive model,NA,NA,quadratic relationship with minimum admissions at 65 g/m3,split into two branches (O3a for >65 g/m3 and O3b for <65 g/m3)
linares2010short,seasonality,temporal,Poisson autoregressive model,NA,NA,to control for periodicities,"annual seasonality (sine365, cosine365), biannual seasonality (sine180, cosine180), 3-month seasonality (sine90, cosine90)"
linares2010short,temperature,parameter,Poisson autoregressive model,NA,NA,temperature exhibited non-linear relationship with hospital admissions,split into hot branch (Thot) and cold branch (Tcold) with threshold at 30C
linares2010short,time,temporal,Poisson autoregressive model,NA,NA,to adjust seasonality,"sine and cosine functions of different periodicities (90, 120, 180 and 365 days)"
linares2010short,weekly_variation,temporal,Poisson autoregressive model,NA,NA,to control for weekly variation,dummy variables for weekdays
lisabeth2008ambient,PM,temporal,Poisson regression,NA,NA,as the effects of PM2.5 on stroke/TIA may be delayed,lag 0 to 5 days
lisabeth2008ambient,season,temporal,Poisson regression,NA,NA,given evidence that air pollution and temperature may have synergistic effects on health outcomes,summer (June through September) versus nonsummer (all other months)
lisabeth2008ambient,temperature,parameter,Poisson regression,natural spline,knots,to account for the potential confounding effects of temperature,3 
lisabeth2008ambient,time,parameter,Poisson regression,natural spline,knots,because strong seasonal trends in the number of events were not found,3 
lopez2010air,PM,temporal,Poisson regression models,NA,NA,a 2-day moving average of air pollutants has been described as fitting better than any single day's results,"exposure on the current day (lag 0) and lags up to 5 days , concurrent and previous day average (lag01)"
lopez2010air,barometric_pressure,temporal,Poisson regression models,NA,NA,to control for the potentially confounding effects of weather because their relationship with the outcome is expected to be nonlinear,lags 0 to 1 and lags 2 to 4 averages
